"jd","star_name","band","validation_flag","magnitude"
2453677.5,"RU AND","Vis.","Z",13.8
2453678.4,"RU AND","Vis.","Z",13.3
2453681.4167,"RU AND","Vis.","Z",13.9
2453683.4194,"RU AND","Vis.","Z",13.9
2453687.6812,"RU AND","Vis.","Z",13.7
2453693.3,"RU AND","Vis.","Z",13.1
2453693.4,"RU AND","Vis.","Z",13.5
2453695.6435,"RU AND","Vis.","Z",13.5
2453696.4521,"RU AND","Vis.","Z",13.5
2453699.5,"RU AND","Vis.","Z",13.4
2453700.6,"RU AND","Vis.","Z",13.5
2453701.4313,"RU AND","Vis.","Z",13.5
2453702.634,"RU AND","Vis.","Z",12.8
2453704.4,"RU AND","Vis.","Z",13.3
2453705.3694,"RU AND","Vis.","Z",13.3
2453705.6364,"RU AND","Vis.","Z",13.1
2453711.6604,"RU AND","Vis.","Z",12.7
2453712.3972,"RU AND","Vis.","Z",12.7
2453713.5,"RU AND","Vis.","Z",13
2453721.3049,"RU AND","Vis.","Z",12.7
2453724.3,"RU AND","Vis.","Z",12.1
2453724.4,"RU AND","Vis.","Z",12
2453725.6102,"RU AND","Vis.","Z",12.5
2453731.3889,"RU AND","Vis.","Z",12.2
2453732.6,"RU AND","Vis.","Z",12.1
2453734.6414,"RU AND","Vis.","Z",11.7
2453736.3,"RU AND","Vis.","Z",11.7
2453736.3826,"RU AND","Vis.","Z",11.8
2453738.3813,"RU AND","Vis.","Z",11.5
2453740.3597,"RU AND","Vis.","Z",11.6
2453744.6787,"RU AND","Vis.","Z",11.9
2453747.6321,"RU AND","Vis.","Z",11.7
2453748.3493,"RU AND","Vis.","Z",11.7
2453749.3,"RU AND","V","Z",11.6
2453750.3764,"RU AND","Vis.","Z",12.1
2453752.6931,"RU AND","Vis.","Z",11.7
2453754.3,"RU AND","Vis.","Z",12
2453755.3743,"RU AND","Vis.","Z",11.7
2453755.4,"RU AND","Vis.","Z",12
2453755.6438,"RU AND","Vis.","Z",11.7
2453757.3,"RU AND","Vis.","Z",12
2453759.4,"RU AND","Vis.","Z",12
2453761.391,"RU AND","Vis.","Z",11.8
2453763.3,"RU AND","Vis.","Z",12
2453763.3368,"RU AND","Vis.","Z",12
2453763.6471,"RU AND","Vis.","Z",11.8
2453764.3,"RU AND","V","Z",11.7
2453766.3,"RU AND","Vis.","Z",12.5
2453768.5,"RU AND","Vis.","Z",12.5
2453778.3,"RU AND","Vis.","Z",11.8
2453781.3,"RU AND","Vis.","Z",11.8
2453782.3,"RU AND","Vis.","Z",11.8
2453786.2583,"RU AND","Vis.","Z",12
2453786.5,"RU AND","Vis.","Z",11.9
2453791.3,"RU AND","Vis.","Z",11.7
2453792.2882,"RU AND","Vis.","Z",11.1
2453799.3,"RU AND","Vis.","Z",11.5
2453800.3,"RU AND","Vis.","Z",11.2
2453800.5,"RU AND","Vis.","Z",11.5
2453805.3,"RU AND","Vis.","Z",11.2
2453813.3,"RU AND","Vis.","Z",10.8
2453816.5,"RU AND","Vis.","Z",11.5
2453908.7,"RU AND","Vis.","Z",13.4
2453908.7,"RU AND","Vis.","Z",13.4
2453922.7,"RU AND","Vis.","Z",13.3
2453949.5,"RU AND","Vis.","Z",12.1
2453949.8,"RU AND","Vis.","Z",12.4
2453953.6,"RU AND","Vis.","Z",12.2
2453957.4549,"RU AND","Vis.","Z",12.4
2453960.6,"RU AND","Vis.","Z",12.4
2453966.422,"RU AND","Vis.","Z",11.8
2453969.8,"RU AND","Vis.","Z",11.8
2453971.6,"RU AND","Vis.","Z",12.2
2453975.4,"RU AND","Vis.","Z",11.7
2453978.6,"RU AND","Vis.","Z",12.2
2453983.4,"RU AND","Vis.","Z",12.1
2453983.4,"RU AND","Vis.","Z",11.7
2453990.5,"RU AND","Vis.","Z",12.2
2453991.4,"RU AND","Vis.","Z",12
2453992.335,"RU AND","Vis.","Z",12.1
2453998.4,"RU AND","Vis.","V",12.3
2453998.5,"RU AND","Vis.","V",11.7
2453999.4,"RU AND","Vis.","V",12
2453999.4611,"RU AND","Vis.","V",12.2
2453999.6,"RU AND","Vis.","V",12
2454002.7382,"RU AND","Vis.","V",11.8
2454003.825,"RU AND","Vis.","V",11.8
2454005.7,"RU AND","Vis.","V",11.8
2454005.8,"RU AND","Vis.","V",11.5
2454009.3,"RU AND","Vis.","V",11.5
2454009.5,"RU AND","Vis.","V",11.5
2454017.4542,"RU AND","Vis.","V",11.5
2454019.3,"RU AND","Vis.","V",11.2
2454022.5,"RU AND","Vis.","V",11.1
2454024.4,"RU AND","Vis.","V",11.4
2454025.4,"RU AND","Vis.","V",11.5
2454025.4944,"RU AND","Vis.","V",11.2
2454028.1368,"RU AND","Vis.","V",11.1
2454033.3,"RU AND","Vis.","V",11.4
2454034.3,"RU AND","Vis.","V",11.5
2454034.4,"RU AND","Vis.","V",10.9
2454036.3,"RU AND","Vis.","V",11.4
2454036.6,"RU AND","Vis.","V",10.8
2454038.7,"RU AND","Vis.","V",11.1
2454039.4,"RU AND","TG","V",11.1
2454039.7,"RU AND","Vis.","V",10.6
2454041.3,"RU AND","Vis.","V",11.4
2454047.65694,"RU AND","Vis.","V",11.6
2454049.3,"RU AND","Vis.","V",11.1
2454050.5,"RU AND","Vis.","V",10.8
2454055.4,"RU AND","Vis.","V",11.2
2454055.4,"RU AND","Vis.","V",10.9
2454055.63472,"RU AND","Vis.","V",11.2
2454055.7875,"RU AND","Vis.","V",11.5
2454057.5132,"RU AND","Vis.","V",11.2
2454058.6641,"RU AND","Vis.","V",11.3
2454060.6392,"RU AND","Vis.","V",11.4
2454060.7,"RU AND","Vis.","V",11.3
2454061.6466,"RU AND","Vis.","V",11.4
2454063.3,"RU AND","Vis.","V",11.2
2454065.6,"RU AND","Vis.","V",11.3
2454066.4,"RU AND","TG","V",11.2
2454066.4,"RU AND","Vis.","V",11.3
2454066.4,"RU AND","Vis.","V",11.2
2454069.3,"RU AND","Vis.","V",11.1
2454069.35,"RU AND","Vis.","V",11.1
2454078.6435,"RU AND","Vis.","V",11.8
2454079.4,"RU AND","Vis.","V",11.5
2454081.7,"RU AND","Vis.","V",11.5
2454082.0458,"RU AND","Vis.","V",11.3
2454086.3,"RU AND","Vis.","V",11.4
2454087.3764,"RU AND","Vis.","V",11.2
2454089.382,"RU AND","Vis.","V",11.9
2454089.6,"RU AND","Vis.","V",11.6
2454091.55833,"RU AND","Vis.","V",11.5
2454091.6694,"RU AND","Vis.","V",11.7
2454093.6,"RU AND","Vis.","V",11.4
2454095.4,"RU AND","Vis.","V",11.7
2454096.7,"RU AND","Vis.","V",11.9
2454101.6,"RU AND","Vis.","V",11.9
2454111.4,"RU AND","Vis.","V",11.9
2454112.375,"RU AND","Vis.","V",12
2454113.6833,"RU AND","Vis.","V",12.3
2454114.2,"RU AND","Vis.","V",12.2
2454114.5,"RU AND","Vis.","V",12.5
2454116.3674,"RU AND","Vis.","V",12.4
2454120.3,"RU AND","Vis.","V",12.7
2454121.3,"RU AND","V","V",12.2
2454121.3,"RU AND","Vis.","V",12.7
2454121.4,"RU AND","Vis.","V",12.3
2454122.3493,"RU AND","Vis.","V",12.1
2454122.5,"RU AND","Vis.","V",13
2454129.5,"RU AND","Vis.","V",13.1
2454131.3,"RU AND","Vis.","V",12.7
2454132.2674,"RU AND","Vis.","V",12.6
2454135.3,"RU AND","Vis.","V",12.8
2454136.3347,"RU AND","Vis.","V",12.7
2454138.2,"RU AND","Vis.","V",12.7
2454144.4,"RU AND","Vis.","V",13.4
2454145.2674,"RU AND","Vis.","V",13
2454147.3049,"RU AND","Vis.","V",13
2454147.6281,"RU AND","Vis.","V",13
2454157.5,"RU AND","Vis.","V",13.2
2454159.2813,"RU AND","Vis.","V",13.4
2454162.3007,"RU AND","Vis.","V",13.1
2454165.2604,"RU AND","Vis.","V",12.8
2454169.5,"RU AND","Vis.","V",13.2
2454170.3299,"RU AND","Vis.","V",13.1
2454174.3,"RU AND","Vis.","V",12.9
2454294.8,"RU AND","Vis.","V",11.2
2454296.5,"RU AND","Vis.","V",11.3
2454312.8,"RU AND","Vis.","V",11.6
2454313.5,"RU AND","Vis.","V",11.3
2454318.4979,"RU AND","Vis.","V",11.8
2454318.5,"RU AND","Vis.","V",11.6
2454327.5,"RU AND","Vis.","V",11.9
2454328.4826,"RU AND","Vis.","V",11.8
2454332.6,"RU AND","Vis.","V",11.5
2454334.583,"RU AND","Vis.","V",12.4
2454335.4757,"RU AND","Vis.","V",11.8
2454337.4271,"RU AND","Vis.","V",11.9
2454339.45,"RU AND","Vis.","V",11.6
2454339.7,"RU AND","Vis.","V",11.6
2454345.4,"RU AND","Vis.","V",11.7
2454347.3924,"RU AND","Vis.","V",11.8
2454352.648,"RU AND","Vis.","V",12.8
2454354.4,"RU AND","Vis.","V",11.7
2454355.4063,"RU AND","Vis.","V",11.8
2454355.5,"RU AND","Vis.","V",11.8
2454356.4,"RU AND","Vis.","V",11.7
2454358.5,"RU AND","Vis.","V",12
2454359.4903,"RU AND","Vis.","V",11.6
2454361.6118,"RU AND","Vis.","V",11.7
2454363.434,"RU AND","Vis.","V",12
2454366.6,"RU AND","TG","V",11.7
2454367.3,"RU AND","Vis.","V",12
2454368.5007,"RU AND","Vis.","V",11.6
2454374.5,"RU AND","Vis.","V",12.2
2454375.5,"RU AND","Vis.","V",12.3
2454378.5965,"RU AND","Vis.","V",12.4
2454379.3,"RU AND","Vis.","V",12
2454380.2826,"RU AND","Vis.","V",12.4
2454380.5,"RU AND","TG","V",12.2
2454386.4,"RU AND","Vis.","V",12.2
2454387.7,"RU AND","TG","V",12.3
2454388.2722,"RU AND","Vis.","V",12.9
2454388.4,"RU AND","Vis.","V",12.3
2454390.2451,"RU AND","Vis.","V",12.6
2454390.5,"RU AND","Vis.","V",13
2454390.594,"RU AND","Vis.","V",12.6
2454391.4,"RU AND","Vis.","V",12.3
2454394.7,"RU AND","TG","V",12.5
2454397.3632,"RU AND","Vis.","V",13
2454402.2646,"RU AND","Vis.","V",13
2454402.4,"RU AND","Vis.","V",13.1
2454409.5,"RU AND","Vis.","V",13.1
2454410.5,"RU AND","Vis.","V",12.8
2454410.6,"RU AND","Vis.","V",12.7
2454411.2882,"RU AND","Vis.","V",12.7
2454412.5264,"RU AND","Vis.","V",13
2454416.469,"RU AND","Vis.","V",12.6
2454418.2715,"RU AND","Vis.","V",12.6
2454418.6,"RU AND","V","V",12.19
2454418.6799,"RU AND","Vis.","V",12.5
2454419.5,"RU AND","Vis.","V",12.5
2454421.5,"RU AND","TG","V",12.3
2454425.2333,"RU AND","Vis.","V",12.8
2454426.4576,"RU AND","Vis.","V",12.8
2454426.5,"RU AND","TG","V",12.2
2454431.2792,"RU AND","Vis.","V",12.6
2454433.5,"RU AND","Vis.","V",12.6
2454438.2576,"RU AND","Vis.","V",12.5
2454438.3,"RU AND","Vis.","V",11.9
2454438.6535,"RU AND","Vis.","V",13.2
2454438.6792,"RU AND","Vis.","V",12.3
2454443.6,"RU AND","Vis.","V",12
2454444.2924,"RU AND","Vis.","V",12.1
2454446.3,"RU AND","Vis.","V",11.9
2454446.4063,"RU AND","Vis.","V",12.1
2454449.6633,"RU AND","Vis.","V",11.9
2454450.5,"RU AND","TG","V",11.9
2454450.645,"RU AND","Vis.","V",12.2
2454451.3431,"RU AND","Vis.","V",12
2454453.5,"RU AND","Vis.","V",11.9
2454457.3556,"RU AND","Vis.","V",11.9
2454457.5,"RU AND","TG","V",11.9
2454458.3326,"RU AND","Vis.","V",11.9
2454464.2722,"RU AND","Vis.","V",12.1
2454464.459,"RU AND","Vis.","V",12.2
2454465.4743,"RU AND","Vis.","V",12.4
2454469.4,"RU AND","Vis.","V",11.9
2454472.25,"RU AND","Vis.","V",12.2
2454472.3,"RU AND","Vis.","V",11.6
2454472.3319,"RU AND","Vis.","V",12.1
2454476.4,"RU AND","Vis.","V",11.9
2454476.4,"RU AND","Vis.","V",11.5
2454477.2319,"RU AND","Vis.","V",12
2454478.5,"RU AND","TG","V",11.6
2454484.2111,"RU AND","Vis.","V",12.1
2454488.3563,"RU AND","Vis.","V",11.9
2454488.4,"RU AND","TG","V",11.5
2454489.4,"RU AND","Vis.","V",11.5
2454493.3,"RU AND","TG","V",11.4
2454497.5,"RU AND","Vis.","V",11.5
2454498.3,"RU AND","Vis.","V",12.4
2454498.3056,"RU AND","Vis.","V",11.8
2454499.3,"RU AND","Vis.","V",11.2
2454499.3,"RU AND","Vis.","V",12.2
2454499.4,"RU AND","TG","V",11.4
2454503.313,"RU AND","Vis.","V",11.2
2454504.3,"RU AND","Vis.","V",11.3
2454505.3,"RU AND","Vis.","V",11.4
2454505.3181,"RU AND","Vis.","V",12
2454505.4,"RU AND","TG","V",11.4
2454507.2,"RU AND","Vis.","V",11.6
2454507.4,"RU AND","Vis.","V",11.5
2454509.357,"RU AND","Vis.","V",11.3
2454510.3,"RU AND","TG","V",11.4
2454513.5,"RU AND","Vis.","V",11.5
2454514.3,"RU AND","TG","V",11.3
2454514.3417,"RU AND","Vis.","V",12
2454521.4,"RU AND","Vis.","V",11.5
2454523.3,"RU AND","Vis.","V",11.2
2454523.3,"RU AND","Vis.","V",12
2454523.3,"RU AND","TG","V",11.4
2454524.3382,"RU AND","Vis.","V",11.9
2454530.3,"RU AND","Vis.","V",11.7
2454537.5,"RU AND","Vis.","V",11.6
2454538.3,"RU AND","Vis.","V",11.2
2454549.4,"RU AND","Vis.","V",11.6
2454646.5758,"RU AND","TG","V",12.5
2454648.5866,"RU AND","TG","V",12.6
2454652.8,"RU AND","Vis.","V",12.6
2454662.5623,"RU AND","TG","V",12.5
2454672.5027,"RU AND","TG","V",12.2
2454673.8,"RU AND","Vis.","V",12
2454678.4931,"RU AND","TG","V",12
2454678.8389,"RU AND","Vis.","V",11.7
2454686.6,"RU AND","Vis.","Z",11.6
2454694.4528,"RU AND","TG","V",11.61
2454705.70705,"RU AND","CV","Z",10.76
2454708.5702,"RU AND","TG","V",11.51
2454709.5174,"RU AND","TG","V",11.48
2454713.622,"RU AND","Vis.","V",11.2
2454718.5779,"RU AND","TG","V",11.4
2454720.8771,"RU AND","Vis.","V",11.5
2454722.542,"RU AND","TG","V",11.5
2454724.5384,"RU AND","TG","V",11.5
2454728.5417,"RU AND","TG","V",11.5
2454729.5001,"RU AND","TG","V",11.5
2454730.5,"RU AND","Vis.","V",11.5
2454730.5098,"RU AND","TG","V",11.5
2454732.4,"RU AND","Vis.","V",11.6
2454734.5,"RU AND","Vis.","V",11.1
2454735.5185,"RU AND","TG","V",11.4
2454736.4876,"RU AND","TG","V",11.4
2454737.5078,"RU AND","TG","V",11.4
2454738.81153,"RU AND","V","V",11.44
2454745.4,"RU AND","Vis.","V",11.5
2454745.56,"RU AND","Vis.","V",11.1
2454748.5228,"RU AND","TG","V",11.2
2454749.492,"RU AND","TG","V",11.3
2454750.4,"RU AND","Vis.","Z",11
2454750.4566,"RU AND","TG","V",11.2
2454750.7243,"RU AND","Vis.","V",11.2
2454751.5731,"RU AND","TG","V",11.2
2454752.4647,"RU AND","TG","V",11.1
2454758.5463,"RU AND","TG","V",11.1
2454759.4378,"RU AND","TG","V",11.1
2454760.25,"RU AND","Vis.","Z",11
2454762.5282,"RU AND","TG","V",11.1
2454764.5,"RU AND","Vis.","Z",10.7
2454764.5854,"RU AND","TG","V",11.2
2454765.7205,"RU AND","V","V",11.29
2454767.5,"RU AND","Vis.","V",11.5
2454768.5514,"RU AND","TG","V",11.3
2454772.4,"RU AND","Vis.","V",11.4
2454774.49,"RU AND","Vis.","V",11.4
2454776.35,"RU AND","Vis.","V",11.6
2454777.68036,"RU AND","V","V",11.47
2454778.6013,"RU AND","TG","V",11.4
2454788.31,"RU AND","Vis.","V",11.6
2454791.5,"RU AND","Vis.","V",11.8
2454793.4,"RU AND","Vis.","V",11.4
2454798.5,"RU AND","Vis.","V",11.8
2454799.382,"RU AND","Vis.","V",11.9
2454800.7396,"RU AND","Vis.","V",12
2454802.6,"RU AND","Vis.","V",11.6
2454809.32,"RU AND","Vis.","V",11.4
2454818.5266,"RU AND","TG","V",11.5
2454819.4,"RU AND","Vis.","V",11.9
2454822.32,"RU AND","Vis.","V",11.6
2454824.3,"RU AND","Vis.","V",11.3
2454826.5,"RU AND","Vis.","V",11.8
2454827.4206,"RU AND","TG","V",11.4
2454828.3877,"RU AND","TG","V",11.4
2454829.3815,"RU AND","TG","V",11.4
2454830.4012,"RU AND","TG","V",11.4
2454831.7333,"RU AND","Vis.","V",12.1
2454832.323,"RU AND","Vis.","V",11.9
2454834.3292,"RU AND","Vis.","V",12.2
2454837.4613,"RU AND","TG","V",11.5
2454838.4029,"RU AND","TG","V",11.5
2454840.2,"RU AND","Vis.","V",11.4
2454841.3789,"RU AND","TG","V",11.4
2454842.2861,"RU AND","Vis.","V",12.2
2454844.4,"RU AND","Vis.","V",11.8
2454848.3507,"RU AND","Vis.","V",12.3
2454849.2,"RU AND","Vis.","V",11.6
2454855.377,"RU AND","TG","V",11.7
2454856.4153,"RU AND","TG","V",11.7
2454856.6451,"RU AND","Vis.","V",12
2454857.4,"RU AND","Vis.","V",12.1
2454858.26,"RU AND","Vis.","V",11.7
2454858.4,"RU AND","Vis.","V",11.9
2454859.2618,"RU AND","Vis.","V",12.4
2454860.3904,"RU AND","TG","V",11.8
2454861.3613,"RU AND","TG","V",11.8
2454862.2951,"RU AND","Vis.","V",11.5
2454862.3495,"RU AND","TG","V",11.8
2454863.3491,"RU AND","TG","V",11.8
2454866.3678,"RU AND","TG","V",11.8
2454866.3694,"RU AND","TG","V",11.8
2454872.4,"RU AND","Vis.","V",12.2
2454874.3,"RU AND","Vis.","V",12
2454874.33,"RU AND","Vis.","V",12.4
2454876.3724,"RU AND","TG","V",12.1
2454876.374,"RU AND","TG","V",12.1
2454877.317,"RU AND","TG","V",12.1
2454877.3186,"RU AND","TG","V",12.1
2454878.27,"RU AND","Vis.","V",12.4
2454880.5,"RU AND","Vis.","V",12.5
2454881.3472,"RU AND","Vis.","V",12.5
2454887.2743,"RU AND","Vis.","V",12.5
2454888.4,"RU AND","Vis.","V",12.5
2454894.2535,"RU AND","Vis.","V",12.7
2454895.4,"RU AND","Vis.","V",12.5
2454902.305,"RU AND","TG","Z",12.32
2454903.4,"RU AND","Vis.","V",12.5
2454905.27,"RU AND","Vis.","V",12.6
2454909.289,"RU AND","TG","Z",12.15
2455006.613,"RU AND","TG","Z",11.33
2455007.591,"RU AND","TG","Z",11.34
2455010.5583,"RU AND","Vis.","V",11.7
2455010.583,"RU AND","TG","Z",11.31
2455011.58,"RU AND","TG","Z",11.33
2455013.5201,"RU AND","Vis.","V",11.8
2455021.5569,"RU AND","Vis.","V",11.8
2455024.601,"RU AND","TG","Z",11.36
2455028.592,"RU AND","TG","Z",11.3
2455028.6,"RU AND","Vis.","V",11.9
2455029.593,"RU AND","TG","Z",11.93
2455030.5,"RU AND","Vis.","V",11.9
2455030.8,"RU AND","Vis.","V",11.3
2455031.5229,"RU AND","Vis.","V",11.9
2455032.593,"RU AND","TG","Z",11.44
2455037.5,"RU AND","Vis.","V",11.8
2455039.5493,"RU AND","Vis.","V",11.6
2455050.4965,"RU AND","Vis.","V",11.9
2455054.64,"RU AND","TG","Z",11.42
2455057.5083,"RU AND","Vis.","V",11.7
2455057.582,"RU AND","TG","Z",11.28
2455058.6,"RU AND","Vis.","V",11.8
2455059.44,"RU AND","Vis.","V",11.9
2455059.579,"RU AND","TG","Z",11.44
2455061.551,"RU AND","TG","Z",11.43
2455062.553,"RU AND","TG","Z",11.4
2455063.4,"RU AND","Vis.","V",11.7
2455064.553,"RU AND","TG","Z",11.42
2455065.4965,"RU AND","Vis.","V",11.6
2455065.5,"RU AND","Vis.","V",11.6
2455065.5083,"RU AND","Vis.","V",11.8
2455065.545,"RU AND","TG","Z",11.48
2455065.6,"RU AND","Vis.","V",11.7
2455066.567,"RU AND","TG","Z",11.42
2455072.514,"RU AND","TG","Z",11.39
2455073.535,"RU AND","TG","Z",11.42
2455073.55,"RU AND","Vis.","V",11.9
2455074.4,"RU AND","Vis.","V",12
2455074.491,"RU AND","TG","Z",11.31
2455075.4799,"RU AND","Vis.","V",12
2455075.488,"RU AND","TG","Z",11.5
2455076.53,"RU AND","Vis.","V",11.9
2455079.5958,"RU AND","Vis.","V",12
2455080.532,"RU AND","TG","Z",11.55
2455081.512,"RU AND","TG","Z",11.55
2455082.612,"RU AND","TG","Z",11.24
2455083.4889,"RU AND","Vis.","V",11.9
2455083.522,"RU AND","TG","Z",11.6
2455084.5,"RU AND","Vis.","V",11.8
2455085.425,"RU AND","Vis.","V",11.9
2455086.4,"RU AND","Vis.","V",11.7
2455088.4375,"RU AND","Vis.","V",11.9
2455092.4056,"RU AND","Vis.","V",11.8
2455092.615,"RU AND","Vis.","V",12.2
2455094.43,"RU AND","Vis.","V",12.2
2455095.5,"RU AND","Vis.","V",12.3
2455095.5736,"RU AND","Vis.","V",12
2455097.3951,"RU AND","Vis.","V",12.1
2455098.4,"RU AND","Vis.","V",11.7
2455101.46,"RU AND","Vis.","V",12.2
2455104.556,"RU AND","TG","Z",11.73
2455112.528,"RU AND","Vis.","V",12.3
2455113.4167,"RU AND","Vis.","V",12.4
2455119.3153,"RU AND","Vis.","V",12.4
2455119.53,"RU AND","TG","Z",12.22
2455120.535,"RU AND","TG","Z",11.49
2455122.4,"RU AND","Vis.","V",11.9
2455123.463,"RU AND","TG","Z",12.27
2455131.5,"RU AND","Vis.","V",12.5
2455131.507,"RU AND","TG","Z",12.06
2455132.474,"RU AND","TG","Z",12.26
2455134.57,"RU AND","CR","Z",12.27
2455136.541,"RU AND","TG","Z",12.19
2455142.452,"RU AND","TG","Z",12.1
2455143.4,"RU AND","Vis.","V",12.2
2455144.529,"RU AND","Vis.","V",12.6
2455149.4,"RU AND","Vis.","V",12.3
2455151.27,"RU AND","Vis.","Z",12.2
2455152.5,"RU AND","Vis.","V",12.6
2455153.4,"RU AND","Vis.","V",12.3
2455155.3,"RU AND","Vis.","V",12.1
2455156.426,"RU AND","TG","Z",11.85
2455156.6347,"RU AND","Vis.","V",12
2455157.2132,"RU AND","Vis.","V",12.3
2455158.463,"RU AND","TG","Z",11.82
2455160.49,"RU AND","TG","Z",11.76
2455162.422,"RU AND","TG","Z",11.82
2455172.3,"RU AND","Vis.","V",11.8
2455176.367,"RU AND","TG","Z",11.78
2455177.3444,"RU AND","Vis.","V",12
2455177.407,"RU AND","TG","Z",11.76
2455178.4,"RU AND","Vis.","V",12
2455181.432,"RU AND","TG","Z",11.77
2455182.448,"RU AND","TG","Z",11.79
2455185.405,"RU AND","Vis.","V",12.2
2455189.3139,"RU AND","Vis.","V",12.4
2455191.412,"RU AND","TG","Z",11.83
2455198.3333,"RU AND","Vis.","V",12.1
2455203.376,"RU AND","TG","Z",11.7
2455203.385,"RU AND","Vis.","V",12.4
2455203.6486,"RU AND","Vis.","V",12
2455204.3868,"RU AND","Vis.","V",12.3
2455215.368,"RU AND","Vis.","V",11.8
2455215.38,"RU AND","V","Z",11.1
2455215.38,"RU AND","TG","Z",11.11
2455218.402,"RU AND","TG","Z",11.26
2455218.402,"RU AND","V","Z",11.2
2455219.405,"RU AND","TG","Z",11.17
2455219.405,"RU AND","V","Z",11.1
2455228.4,"RU AND","Vis.","Z",11.2
2455229.5,"RU AND","Vis.","V",11.8
2455230.3243,"RU AND","Vis.","Z",11
2455231.394,"RU AND","TG","Z",11.01
2455237.322,"RU AND","Vis.","V",11.8
2455237.5,"RU AND","Vis.","V",11.2
2455240.349,"RU AND","TG","Z",10.92
2455242.325,"RU AND","TG","Z",10.89
2455242.4,"RU AND","Vis.","Z",10.2
2455248.32,"RU AND","TG","Z",10.84
2455254.316,"RU AND","TG","Z",10.85
2455257.324,"RU AND","TG","Z",10.86
2455258.326,"RU AND","Vis.","Z",11.8
2455260.3521,"RU AND","Vis.","V",11.3
2455261.26,"RU AND","Vis.","Z",11.2
2455262.3,"RU AND","Vis.","Z",11.4
2455262.317,"RU AND","TG","Z",10.9
2455262.5,"RU AND","Vis.","Z",11.7
2455263.385,"RU AND","Vis.","Z",11.3
2455267.313,"RU AND","TG","Z",10.96
2455268.293,"RU AND","TG","Z",10.96
2455269.298,"RU AND","TG","Z",10.98
2455272.4,"RU AND","Vis.","Z",11.8
2455281.5,"RU AND","Vis.","Z",11.8
2455288.399,"RU AND","Vis.","Z",11.4
2455355.6,"RU AND","Vis.","Z",12.3
2455366.605,"RU AND","TG","Z",12.14
2455366.605,"RU AND","V","Z",12.1
2455370.57,"RU AND","TG","Z",12.2
2455373.563,"RU AND","TG","Z",12.2
2455382.539,"RU AND","V","Z",12.1
2455382.539,"RU AND","TG","Z",12.11
2455384.54,"RU AND","TG","Z",12.05
2455384.54,"RU AND","V","Z",12
2455386.541,"RU AND","V","Z",11.7
2455388.51,"RU AND","Vis.","Z",12.2
2455388.602,"RU AND","V","Z",11.8
2455388.602,"RU AND","TG","Z",11.83
2455391.604,"RU AND","TG","Z",11.76
2455391.604,"RU AND","V","Z",11.7
2455392.49,"RU AND","Vis.","Z",12.4
2455393.606,"RU AND","TG","Z",11.75
2455393.606,"RU AND","V","Z",11.7
2455393.8,"RU AND","Vis.","Z",11.8
2455395.53,"RU AND","Vis.","Z",12
2455397.4889,"RU AND","Vis.","Z",12
2455411.6,"RU AND","Vis.","Z",11.9
2455416.538,"RU AND","TG","Z",11.45
2455416.538,"RU AND","V","Z",11.4
2455417.5014,"RU AND","Vis.","Z",11.9
2455420.467,"RU AND","TG","Z",11.46
2455420.467,"RU AND","V","Z",11.4
2455420.5,"RU AND","Vis.","Z",11.9
2455423.5868,"RU AND","Vis.","Z",11.1
2455424.55,"RU AND","TG","Z",11.37
2455424.55,"RU AND","V","Z",11.3
2455425.46,"RU AND","Vis.","Z",12
2455426.555,"RU AND","TG","Z",11.31
2455426.555,"RU AND","V","Z",11.3
2455428.5,"RU AND","Vis.","Z",11.8
2455429.575,"RU AND","TG","Z",11.21
2455429.575,"RU AND","V","Z",11.2
2455431.577,"RU AND","TG","Z",11.16
2455431.577,"RU AND","V","Z",11.1
2455433.605,"RU AND","TG","Z",11.12
2455433.605,"RU AND","V","Z",11.1
2455440.53,"RU AND","TG","Z",11.04
2455440.53,"RU AND","V","Z",11
2455441.5,"RU AND","Vis.","Z",11.7
2455443.584,"RU AND","TG","Z",11.05
2455443.584,"RU AND","V","Z",11
2455444.4,"RU AND","Vis.","Z",11.3
2455445.4924,"RU AND","Vis.","Z",11.8
2455451.353,"RU AND","TG","Z",11.1
2455453.479,"RU AND","TG","Z",11.07
2455453.479,"RU AND","V","Z",11
2455454.3,"RU AND","Vis.","Z",11.3
2455455.544,"RU AND","V","Z",11
2455455.544,"RU AND","TG","Z",11.05
2455459.545,"RU AND","TG","Z",11.05
2455459.545,"RU AND","V","Z",11
2455460.44,"RU AND","Vis.","Z",11.7
2455468.623,"RU AND","TG","Z",11.15
2455468.623,"RU AND","V","Z",11.1
2455475.494,"RU AND","TG","Z",11.21
2455475.572,"RU AND","Vis.","Z",11.9
2455477.3,"RU AND","Vis.","Z",11.4
2455478.391,"RU AND","TG","Z",11.25
2455478.4375,"RU AND","Vis.","Z",11.2
2455478.6,"RU AND","Vis.","Z",11.2
2455488.48,"RU AND","Vis.","Z",11.9
2455497.29,"RU AND","Vis.","Z",11.7
2455506.32,"RU AND","V","Z",11.28
2455506.59,"RU AND","Vis.","Z",11.7
2455510.466,"RU AND","Vis.","Z",11.3
2455511.6729,"RU AND","Vis.","Z",12
2455513.5,"RU AND","Vis.","Z",11.6
2455514.34,"RU AND","V","Z",11.28
2455527.4007,"RU AND","Vis.","Z",11.7
2455528.6,"RU AND","Vis.","Z",11.8
2455531.6549,"RU AND","Vis.","Z",11.8
